lon,lat,k2,k3,k4,k5,k6
-73.9102422,40.6895998,0,0,2,1,1
-73.9113877,40.6198942,0,0,2,3,5
-73.9743798,40.5871993,1,1,1,0,2
-73.9589671,40.6393047,1,1,3,3,5
-73.9435263,40.69603,0,2,0,4,4
-74.0099287,40.6521655,1,1,3,2,0
-73.9236088,40.6616622,0,0,2,1,1
-73.9956963,40.6626948,1,1,3,2,3
-73.98906,40.6441204,1,1,3,2,0
-73.925707,40.6353658,0,0,2,3,5
-73.9688912,40.5752608,1,1,1,0,2
-73.9576666,40.6105032,1,1,1,0,2
-73.98835,40.6445622,1,1,3,2,0
-74.0360929,40.6125584,1,1,3,2,0
-73.9182647,40.6194848,1,0,2,3,5
-74.025047,40.6235899,1,1,3,2,0
-74.0000324,40.577244,1,1,1,0,2
-74.0355569,40.6340613,1,1,3,2,0
-73.9353599,40.6347677,0,0,2,3,5
-73.901433,40.6457036,0,0,2,1,1
-74.0128328,40.64936,1,1,3,2,0
-73.9366363,40.6224004,1,0,1,3,5
-73.9962766,40.6621404,1,1,3,2,3
-74.0160711,40.6431097,1,1,3,2,0
-73.9963931,40.6412553,1,1,3,2,0
-73.9480158,40.6362673,1,0,2,3,5
-73.9107412,40.6696841,0,0,2,1,1
-73.9476978,40.6328856,1,0,2,3,5
-73.9688579,40.6776634,0,2,0,4,3
-73.8896944,40.6338025,0,0,2,1,1
-73.9978811,40.6467175,1,1,3,2,0
-73.9718339,40.5798042,1,1,1,0,2
-73.9718339,40.5798042,1,1,1,0,2
-73.950335,40.6716376,0,2,0,4,3
-73.9602915,40.6903471,0,2,0,4,3
-73.9524386,40.7346885,0,2,0,4,4
-73.9743118,40.6797343,0,2,0,4,3
-73.9661729,40.6404324,1,1,3,3,5
-74.0210119,40.6334692,1,1,3,2,0
